sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,feedback,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
95db4a8c-e479-4296-a313-46c80056a740,59,Racing,Medium,19.04,0,1,False,7/2/2026 10:14,0.0,0.0,0.0,19.0365,9.0,40.0,37.14446,1.0,Balanced,0.9286115,9.0,0.0,0,0.10989010989010989,0.0,0.9286115,0.66608345,0.0
2d479845-448d-499f-9cba-0de24206f39b,60,Racing,Medium,117.88,800,0,True,7/2/2026 10:16,3.0,38.73999,39.29313,117.8794,6.0,40.0,39.02921,0.9889603,Balanced,0.97573025,1.5,0.5531399999999991,1,0.625,0.9834199516514681,0.9649584807590751,0.970657165,0.90625
906f2bbb-13a6-4514-89ef-e96ae635bb3f,61,Racing,Medium,113.92,1100,0,True,7/2/2026 10:24,3.0,37.73999,37.97249,113.9175,0.0,40.0,39.64607,0.9940642,TooEasy,0.99115175,0.0,0.2325000000000017,1,10.0,0.9912666599951828,0.98526847144235,0.995564785,1.0
86ac11f8-72ea-45d6-a450-cac9252c1acd,62,Racing,Medium,7.58,0,1,False,7/2/2026 10:24,0.0,0.0,0.0,7.584351,8.0,40.0,32.4838,1.0,TooHard,0.812095,8.0,0.0,0,0.1234567901234568,0.0,0.812095,0.6436284999999999,0.0
7d70096c-60af-4cd3-82c1-e0fc62bd5b88,63,Racing,Medium,11.81,0,1,False,7/2/2026 10:25,0.0,0.0,0.0,11.8092,10.0,40.0,32.38965,1.0,Balanced,0.8097412500000001,10.0,0.0,0,0.09900990099009901,0.0,0.8097412500000001,0.617922375,0.0
5fdd41d0-0306-4298-80ba-a0854aa2b062,64,Racing,Medium,114.66,950,0,True,7/2/2026 10:27,3.0,37.93994,38.21907,114.6572,3.0,40.0,39.63636,0.9896712,TooEasy,0.990909,0.75,0.2791300000000021,1,1.1764705882352942,0.9901059707346759,0.9806740991208001,0.9847990600000001,0.953125
fe881ab7-85cc-485e-80ed-d5b7e14cba57,65,Racing,Medium,50.3,0,1,False,7/2/2026 10:34,1.0,39.63428,39.63428,50.2981,18.0,40.0,35.66565,1.0,TooHard,0.8916412499999999,9.0,0.0,0,0.10989010989010989,0.9974832814385965,0.8916412499999999,0.654992375,0.0
1e9c5452-f576-444f-9dca-9c54e4766ca9,66,Racing,Medium,61.79,0,1,False,7/2/2026 10:36,1.0,39.39697,39.39697,61.78809,14.0,40.0,38.84692,1.0,TooHard,0.971173,7.0,0.0,0,0.14084507042253522,0.9974681602158343,0.971173,0.7038519000000001,0.0
c6cde499-b10c-4b41-a779-9ccf05103567,67,Racing,Medium,30.24,0,1,False,7/2/2026 10:36,0.0,0.0,0.0,30.24146,12.0,40.0,38.39058,1.0,TooHard,0.9597645,12.0,0.0,0,0.08264462809917356,0.0,0.9597645,0.6379293500000001,0.0
76774d9b-b7e5-4359-9c45-2e2387f2abf7,68,Racing,Medium,11.08,0,1,False,7/2/2026 10:42,0.0,0.0,0.0,11.07544,8.0,40.0,35.62,1.0,TooHard,0.8905,8.0,0.0,0,0.1234567901234568,0.0,0.8905,0.66715,0.0
ced109b9-a5cd-469c-8c50-20f8bb816fec,69,Racing,Medium,118.27,550,0,True,7/2/2026 10:44,3.0,38.45996,39.42488,118.2747,11.0,40.0,38.7964,0.9702678,TooHard,0.9699099999999999,2.75,0.9649199999999993,1,0.3508771929824561,0.9730569706979503,0.941072441898,0.94767834,0.828125
c943c83b-84f4-447a-996a-0fe0425141c8,70,Racing,Medium,116.66,900,0,True,7/2/2026 10:47,3.0,38.55981,38.88582,116.6575,4.0,40.0,39.27924,0.9905364,TooEasy,0.981981,1.0,0.3260100000000037,1,0.9090909090909091,0.9890726936101382,0.9726879246083999,0.97925522,0.9375
f574a30c-4c32-4e11-b423-eab4e737ff70,71,Racing,Medium,117.52,750,0,True,7/2/2026 10:49,3.0,38.47998,39.17277,117.5183,7.0,40.0,39.05841,0.9811088,Balanced,0.97646025,1.75,0.6927900000000022,1,0.5405405405405405,0.9798132395550402,0.9580137441252,0.9653957150000001,0.890625
63b2fb01-2f78-4096-ac2b-4bebfdf60252,72,Racing,Medium,85.57,0,1,False,7/2/2026 11:20,2.0,39.05518,39.29749,85.57495,17.0,40.0,38.72183,0.993834,TooHard,0.9680457499999999,5.666666666666667,0.24231000000000336,0,0.17341040462427745,0.9913113754201092,0.9620767799054999,0.7177305916666665,0.0
184b49b0-7688-4999-a14d-0c111c4cf706,73,Racing,Medium,36.16,0,1,False,7/2/2026 11:22,0.0,0.0,0.0,36.15576,14.0,40.0,38.32135,1.0,TooHard,0.95803375,14.0,0.0,0,0.07092198581560284,0.0,0.95803375,0.612410125,0.0
3e8e790d-19ca-44da-b550-65b0b977dfd4,74,Racing,Medium,116.56,750,0,True,7/2/2026 11:27,3.0,38.63989,38.85221,116.5566,7.0,40.0,39.27684,0.9936728,Balanced,0.981921,1.75,0.2123199999999983,1,0.5405405405405405,0.9919819697008205,0.9757081894488001,0.9708031400000001,0.890625
eece1ca5-614a-43cd-a338-ef0a6f2d664a,75,Racing,Medium,119.3,600,0,True,7/2/2026 12:18,3.0,38.90039,39.7666,119.2998,10.0,40.0,38.73151,0.9740028,Balanced,0.96828775,2.5,0.8662099999999953,1,0.3846153846153846,0.9757639226821451,0.9431149797056999,0.951437165,0.84375
78440c38-1082-4946-9db3-ada709a25788,76,Racing,Medium,116.84,900,0,True,7/2/2026 12:28,3.0,38.43994,38.94531,116.8359,4.0,40.0,39.49159,0.9903793,TooEasy,0.9872897500000001,1.0,0.5053699999999992,1,0.9090909090909091,0.984495705117977,0.977791331502175,0.980800715,0.9375
5ffa07c1-fdac-4d20-85cb-03a574e51c99,77,Racing,Medium,118.1,750,0,True,7/2/2026 12:30,3.0,38.7002,39.36572,118.0972,7.0,40.0,38.9197,0.9805214,Balanced,0.9729924999999999,1.75,0.6655200000000008,1,0.5405405405405405,0.9806029131104158,0.9540399682894999,0.96417917,0.890625
75206278-e66e-40a5-8c7c-30d329afe7a7,78,Racing,Medium,7.91,0,1,False,7/2/2026 12:31,0.0,0.0,0.0,7.905762,5.0,40.0,29.29312,1.0,TooHard,0.732328,5.0,0.0,0,0.19607843137254904,0.0,0.732328,0.6571984,0.0
65ac0abc-8270-4d11-9166-5edb6d92c314,79,Racing,Medium,115.94,1100,0,True,7/2/2026 12:33,3.0,38.09961,38.64567,115.937,0.0,40.0,39.41239,0.984861,TooEasy,0.9853097500000001,0.0,0.5460600000000042,1,10.0,0.9833256206435453,0.9703931456947501,0.9910512249999999,1.0
a07c0b26-7393-4131-ab37-dc4922f8e07b,80,Racing,Medium,25.21,0,1,False,7/2/2026 12:41,0.0,0.0,0.0,25.21387,9.0,40.0,37.74646,1.0,TooHard,0.9436614999999999,9.0,0.0,0,0.10989010989010989,0.0,0.9436614999999999,0.67059845,0.0
